ISO3,Name,Country,Decimals,Symbol,Code
ADP,Andorran Peseta,Andorra,0,₧,
AED,UAE Dirham,United Arab Emirates,2,Dhs,784
AFA,Afghan Afghani (1927-2002),Afghanistan,2,؋,971
AFN,Afghani,Afghanistan,2,؋,971
ALL,Lek,Albania,2,L,8
AMD,Armenian Dram,Armenia,2,֏,51
ANG,Netherlands Antillean Guilder,Curaçao,2,Naƒ,532
AOA,Kwanza,Angola,2,Kz,973
ARS,Argentine Peso,Argentina,2,$,32
ATS,Austrian Schilling,Austria,2,S,
AUD,Australian Dollar,Australia,2,A$,36
AWG,Aruban Florin,Aruba,2,ƒ,533
AYM,Azerbaijanian Manat,Azerbaijan,2,₼,944
AZM,Azerbaijanian Manat (1993-2006),Azerbaijan,2,₼,
BAM,Convertible Mark,Bosnia and Herzegovina,2,KM,977
BBD,Barbados Dollar,Barbados,2,Bds$,52
BDT,Taka,Bangladesh,2,৳,50
BEF,Belgian Franc,Belgium,0,fr.,
BGL,Bulgarian Hard Lev,Bulgaria,2,лв.,
BGN,Bulgarian Lev,Bulgaria,2,лв.,975
BHD,Bahraini Dinar,Bahrain,3,.د.ب,48
BIF,Burundi Franc,Burundi,0,FBu,108
BMD,Bermudian Dollar,Bermuda,2,BD$,60
BND,Brunei Dollar,Brunei Darussalam,2,B$,96
BOB,Boliviano,Plurinational State Of Bolivia,2,Bs,68
BOV,Bolivian Mvdol (funds code),Plurinational State Of Bolivia,2,BOV,984
BRL,Brazilian Real,Brazil,2,R$,986
BSD,Bahamian Dollar,Bahamas,2,B$,44
BTC,Bitcoin,,,₿,
BTN,Bhutanese ngultrum,Bhutan,2,Nu.,64
BWP,Botswana pula,Botswana,2,P,72
BYB,Belarusian Ruble (1994-1999),Belarus,0,Br,
BYN,Belarusian Ruble,Belarus,2,Br,933
BYR,Belarusian Ruble (2000-2016),Belarus,0,Br,
BZD,Belize dollar,Belize,2,BZ$,84
CAD,Canadian dollar,Canada,2,CA$,124
CDF,Congolese franc,Democratic Republic of The Congo,2,FC,976
CHE,WIR Euro,Switzerland,2,€,947
CHF,Swiss Franc,Switzerland,2,SFr,756
CHW,WIR Franc,Switzerland,2,Fr,948
CLF,Unidad de Fomento,Chile,4,UF,990
CLP,Chilean Peso,Chile,0,CLP$,152
CNY,Yuan Renminbi,China,2,元,156
COP,Colombian Peso,Colombia,2,COP$,170
COU,Unidad de Valor Real,Colombia,2,URV,970
CRC,Costa Rican Colon,Costa Rica,2,₡,188
CSD,Serbian Dinar (2002-2006),Serbia,2,дин,
CUC,Cuban convertible peso,Cuba,2,CUC$,931
CUP,Cuban Peso,Cuba,2,₱,192
CVE,Cabo Verde Escudo,Cabo Verde,2,Esc,132
CYP,Cypriot Pound,Cyprus,2,£,
CZK,Czech Koruna,Czech Republic,2,Kč,203
DEM,German Mark,Germany,2,DM,
DJF,Djibouti Franc,Djibouti,0,Fr,262
DKK,Danish Krone,Denmark,2,kr,208
DOP,Dominican Peso,Dominican Republic,2,RD$,214
DZD,Algerian Dinar,Algeria,2,دج,12
EEK,Estonian Kroon,Estonia,2,kr,
EGP,Egyptian Pound,Egypt,2,E£,818
